"countries" "countries_short" "Labour.market.insecurity.Total" "Stakeholder.engagement.for.developing.regulations.Total" "Dwellings.without.basic.facilities.Total" "Housing.expenditure.Total" "Feeling.safe.walking.alone.at.night.Total" "Feeling.safe.walking.alone.at.night.Men" "Feeling.safe.walking.alone.at.night.Women" "Rooms.per.person.Total" "Household.net.adjusted.disposable.income.Total" "Household.net.wealth.Total" "Employment.rate.Total" "Employment.rate.Men" "Employment.rate.Women" "Long.term.unemployment.rate.Total" "Long.term.unemployment.rate.Men" "Long.term.unemployment.rate.Women" "Personal.earnings.Total" "Quality.of.support.network.Total" "Quality.of.support.network.Men" "Quality.of.support.network.Women" "Quality.of.support.network.High" "Quality.of.support.network.Low" "Educational.attainment.Total" "Educational.attainment.Men" "Educational.attainment.Women" "Student.skills.Total" "Student.skills.Men" "Student.skills.Women" "Student.skills.High" "Student.skills.Low" "Years.in.education.Total" "Years.in.education.Men" "Years.in.education.Women" "Air.pollution.Total" "Water.quality.Total" "Water.quality.Men" "Water.quality.Women" "Voter.turnout.Total" "Life.expectancy.Total" "Life.expectancy.Men" "Life.expectancy.Women" "Self.reported.health.Total" "Self.reported.health.Men" "Self.reported.health.Women" "Self.reported.health.High" "Self.reported.health.Low" "Life.satisfaction.Total" "Life.satisfaction.Men" "Life.satisfaction.Women" "Life.satisfaction.High" "Life.satisfaction.Low" "Homicide.rate.Total" "Homicide.rate.Men" "Homicide.rate.Women" "Employees.working.very.long.hours.Total" "Employees.working.very.long.hours.Men" "Employees.working.very.long.hours.Women" "Time.devoted.to.leisure.and.personal.care.Total" "Time.devoted.to.leisure.and.personal.care.Men" "Time.devoted.to.leisure.and.personal.care.Women"
"Slovak Republic" "SVK" 8.8 3 1.5 27.4 76 86 67 1.1 21149 171425 68 73 62 3 3 3 23619 95 94 95 97 95 92 93 92 469 463 475 511 404 16 15 16 18.5 81 83 80 66 77.8 74.3 81.2 65 69 61 78 57 6.5 6.5 6.6 6.9 6.4 0.8 1 0.6 4.2 6.1 2 NA NA NA
"Spain" "ESP" 15.8 1.8 0.3 21.7 80 86 75 1.9 27155 366534 62 67 57 5 4.1 6.1 37922 93 93 94 97 93 63 60 66 NA NA NA NA NA 18 18 18 10 76 75 77 72 83.9 81.1 86.7 75 78 73 84 71 6.5 6.4 6.6 7.1 6.7 0.7 0.9 0.5 2.5 3.5 1.4 15.75 16.1 15.26
"Sweden" "SWE" 4.4 2 0 20.1 79 90 68 1.7 33730 NA 75 77 74 1 1 1 47020 94 94 93 96 93 84 83 85 503 495 510 549 460 20 19 20 5.8 97 98 97 87 83.2 81.5 84.8 76 79 73 87 65 7.3 7.3 7.3 7.6 7.2 1.1 1.5 0.5 0.9 1.3 0.5 NA NA NA
"Türkiye" "TUR" 13 1.5 4.9 18.9 59 72 45 1 NA NA 48 65 30 3.3 2.5 4.9 NA 85 82 88 93 84 42 45 38 462 458 467 513 437 19 19 18 27.1 62 64 60 86 78.6 75.9 81.3 67 72 62 74 64 4.9 4.3 5.4 5.8 4.8 1 1.5 0.5 25 27.2 20.1 14.61 14.8 14.07
"United Kingdom" "GBR" 3.3 3.1 0.5 23.2 78 80 77 2 33049 524422 75 79 72 0.9 1.1 0.7 47147 93 89 96 93 93 82 81 83 503 503 504 550 471 17 16 17 10.1 82 80 84 68 81.3 79.4 83.1 73 74 72 84 62 6.8 6.7 6.9 7.2 6.7 0.2 0.2 0.1 10.8 15.3 6.3 14.94 15 14.88
"United States" "USA" 4.2 3.1 0.1 18.3 78 88 69 2.4 51147 684500 67 72 62 0.5 0.5 0.4 69392 94 93 94 96 93 92 91 92 495 493 498 558 460 17 17 18 7.7 88 90 86 65 78.9 76.3 81.4 88 88 87 95 71 7 7 7.1 7.5 6.9 6 9.5 2.5 10.4 13.9 6.6 14.57 14.8 14.29
"Chile" "CHL" 7 1.3 9.4 18.4 41 53 30 1.9 NA 135787 56 65 47 NA NA NA 26729 88 88 88 94 88 67 67 68 438 436 439 502 415 17 17 18 23.4 62 64 60 47 80.6 77.9 83.4 60 64 56 72 52 6.2 6.2 6.1 6.9 6.1 2.4 4.2 0.7 7.7 9.6 5 NA NA NA
"Estonia" "EST" 5.4 2.7 5.7 17 79 90 71 1.7 23784 188627 74 76 72 1.2 1.3 1 30720 95 93 97 96 93 91 87 94 526 521 530 558 497 18 17 18 5.9 86 86 86 64 78.8 74.5 83 57 59 54 78 33 6.5 6.3 6.6 7 6.1 1.9 3.1 0.6 2.2 3 1.4 14.98 15.4 14.55
"Israel" "ISR" 4.6 2.5 NA NA 80 83 77 1.2 NA NA 67 69 65 0.2 0.2 0.2 39322 95 95 96 96 95 88 87 89 465 452 477 529 407 16 15 16 19.7 77 74 79 67 82.9 81 84.8 74 75 72 89 79 7.2 7.2 7.2 7.5 7.2 1.5 2.4 0.7 14.1 21.5 6.8 NA NA NA
"Latvia" "LVA" 6.3 2.2 11.2 20.8 72 87 61 1.2 19783 79245 72 73 70 2.2 2.7 1.7 29876 92 89 94 97 91 89 86 93 487 482 493 512 447 18 18 19 12.7 83 84 83 55 75.5 70.9 80.1 47 53 43 69 25 6.2 6.3 6.2 6.6 6 3.7 5.8 1.9 1.6 2.4 1 NA NA NA
"Slovenia" "SVN" 5.9 2.5 0.2 18.2 91 95 85 1.6 25250 233286 71 74 68 1.9 1.5 2.4 41445 95 95 95 NA 95 90 91 89 504 495 512 541 462 18 18 19 17 93 95 90 53 81.6 78.7 84.5 67 70 64 79 49 6.5 6.5 6.4 NA 6.5 0.4 0.5 0.3 5.6 7.9 2.9 NA NA NA
"OECD - Total" "OECD" 5.1 2.1 3 20.5 74 82 66 1.7 30490 323960 66 74 59 1.3 1.3 1.4 49165 91 90 92 94 91 79 78 80 488 485 491 534 445 18 17 18 14 84 85 84 69 81 78.3 83.6 68 71 66 79 58 6.7 6.7 6.7 7.2 6.6 2.6 4.4 0.9 10.2 13.8 6 15.07 15.2 14.84
"Switzerland" "CHE" NA 2.3 0 21.4 86 91 81 1.9 39697 NA 80 84 76 1.7 1.6 1.8 64824 94 93 95 95 94 89 90 88 498 494 502 539 435 17 18 17 10.1 96 96 95 45 84 82.1 85.8 81 83 79 89 71 7.5 7.5 7.5 7.6 7.4 0.3 0.4 0.3 0.4 0.4 0.3 NA NA NA
"Brazil" "BRA" NA 2.2 6.7 NA 45 55 34 NA NA NA 57 67 47 NA NA NA NA 83 86 80 90 86 57 53 60 400 397 403 470 373 16 16 16 11.7 70 70 71 80 75.9 72.2 79.6 NA NA NA NA NA 6.1 6.2 6 6.9 6.4 19 35.5 3.3 5.6 7.3 3.6 NA NA NA
"Russia" "RUS" NA NA 13.8 17.4 64 74 55 1 19546 NA 70 75 65 1.1 1.1 1.1 NA 89 88 89 93 89 95 94 96 481 478 485 510 443 16 16 17 11.8 62 64 59 68 73.2 68.2 78.2 43 49 38 NA NA 5.5 5.3 5.6 5.9 5.3 4.8 7.7 2.2 0.1 0.2 0.1 NA NA NA
"South Africa" "ZAF" NA NA 35.9 18.1 40 46 35 NA 9338 NA 39 44 33 17.9 15.7 20.8 NA 89 89 89 94 90 48 48 48 NA NA NA NA NA NA NA NA 28.5 72 71 73 66 64.2 60.7 67.7 NA NA NA NA NA 4.9 4.9 5 5.6 4.9 13.7 24.7 3.6 15.4 19.7 10.4 NA NA NA
"Colombia" "COL" NA 1.4 12.3 NA 50 54 45 1 NA NA 58 71 45 1.1 0.7 1.6 NA 80 76 83 92 80 59 56 61 406 409 402 459 373 14 14 14 22.6 82 80 83 53 76.7 73.5 79.9 80 84 78 84 76 5.7 5.7 5.7 7.1 5.7 23.1 43 4.1 23.7 28.2 17.1 NA NA NA
"Lithuania" "LTU" NA 2.4 11.8 18.4 62 69 56 1.5 26976 182039 72 72 71 2.5 2.5 2.4 31811 89 89 88 96 88 94 91 96 480 472 488 522 432 18 18 19 10.5 83 85 81 57 76.4 71.6 81.2 46 52 42 67 26 6.4 6.6 6.2 7.2 6.2 2.5 4 1 1 1.1 0.8 NA NA NA
"Costa Rica" "CRI" NA 1.8 2.3 17 47 59 36 1.2 16517 NA 55 68 41 1.5 0.8 2.6 NA 82 80 85 90 85 43 41 44 415 417 413 476 392 NA NA NA 17.5 87 90 85 66 80.5 77.9 83 73 77 70 NA NA 6.3 6.2 6.5 7.1 6.5 10 18.2 1.8 22 27.9 12.7 NA NA NA
